order_item_id,order_id,product_id,quantity,price_per_item
a1f6455a-2d64-473a-9c06-87526b9d871e,a99501ef-f995-4921-bfff-6b5b8c98f109,prod_0005,2,406.26
f4f6b4a0-c608-4d7f-bce4-5f48eb9819f0,0c88bc93-af5a-4112-a87a-f635481000a4,prod_0004,2,267.35
2d1361ef-f57d-4054-a4e7-45725606f2d9,0c88bc93-af5a-4112-a87a-f635481000a4,prod_0042,3,46.15
372255bd-30a2-4c2a-b34c-568b196c6a0e,0c88bc93-af5a-4112-a87a-f635481000a4,prod_0098,3,184.23
cb9d129b-a2f5-4bff-92a6-dc549864f8b2,0c88bc93-af5a-4112-a87a-f635481000a4,prod_0045,1,474.66
7cbc7034-3288-4543-bde8-3544eb9a3d0b,a916ef81-7797-4e75-8528-23ed1266be85,prod_0059,1,150.62
ad78d2d8-a227-49f5-aee5-d497184850fd,c33edd6f-c961-4b9b-b27e-6ee3adbf8a42,prod_0085,2,468.7
9f61795b-ea3c-4f72-9ca5-f609e07b335a,c33edd6f-c961-4b9b-b27e-6ee3adbf8a42,prod_0015,2,116.52
7a0a188b-a7e7-4eab-b5bd-4965d489b53e,06dba19c-a2e8-40de-a4de-ff8dddd0319c,prod_0033,3,151.47
4d913079-087c-4ecf-8b3c-0ee91deac982,06dba19c-a2e8-40de-a4de-ff8dddd0319c,prod_0098,3,184.23
43b63b9f-81dd-4422-871f-50bf3bd25331,06dba19c-a2e8-40de-a4de-ff8dddd0319c,prod_0068,1,378.47
54880206-184d-4880-b288-acc1165eda97,06dba19c-a2e8-40de-a4de-ff8dddd0319c,prod_0018,3,136.02
f9b9f45d-bcad-4a5b-b6c1-385771682dd1,df88e50f-3bb2-4cf1-be55-e4d787f9d79b,prod_0016,3,133.67
fe958a78-e677-4cc5-a254-ddd99b6e0249,df88e50f-3bb2-4cf1-be55-e4d787f9d79b,prod_0061,3,447.22
272fa200-470a-4599-af37-3ead2985f578,df88e50f-3bb2-4cf1-be55-e4d787f9d79b,prod_0069,2,377.89
e9c1b939-7fd9-4d06-a6ac-1262b79019ad,6bf5fb16-4306-4f9e-a477-75450c7bc549,prod_0057,1,24.95
4d698709-411e-40e8-befb-1a5c746b26d3,6bf5fb16-4306-4f9e-a477-75450c7bc549,prod_0024,1,299.45
5e71d5e1-3943-48ec-912d-1bd7f4cdec2a,ed59036b-38fd-46d8-b8ae-878760e562a0,prod_0043,1,177.03
7065c997-7e6f-4b86-a208-7faae606dac5,ed59036b-38fd-46d8-b8ae-878760e562a0,prod_0074,2,115.27
4981d8e3-91de-4bbc-bd6e-6c9a12405bbc,ed59036b-38fd-46d8-b8ae-878760e562a0,prod_0005,3,406.26
5f706ede-5b78-45a3-a911-1a9e62a57645,ed59036b-38fd-46d8-b8ae-878760e562a0,prod_0078,2,486.72
