order_id,customer_id,order_date,status
a99501ef-f995-4921-bfff-6b5b8c98f109,044dccdd-f14d-479e-b678-a4d127eca0b5,2024-08-20 23:27:46.276523,pending
0c88bc93-af5a-4112-a87a-f635481000a4,d9d81c1f-a40c-4c1a-a42e-955d968922b9,2024-03-14 21:17:44.693487,completed
a916ef81-7797-4e75-8528-23ed1266be85,351ea71a-bbe7-44bd-be19-8c9ec89d4d15,2024-07-25 15:29:14.468670,pending
c33edd6f-c961-4b9b-b27e-6ee3adbf8a42,0d6b61c9-248d-4f7b-ab6c-493260424371,2025-09-14 12:22:15.623284,completed
dee96d21-0f4b-4474-b69f-d58cc20d8806,b8a723b4-567b-4e4c-81e8-3a0e4cdde345,2024-05-03 11:41:50.208486,cancelled
d10494b6-e866-43c2-8519-97dbe1438dbd,49c73a9d-2fa0-4367-9dec-501abf9d27a2,2024-10-25 20:29:13.945046,cancelled
06dba19c-a2e8-40de-a4de-ff8dddd0319c,e188d0e5-b06f-4283-a447-460ab8b2fcdf,2024-10-07 16:24:21.382695,pending
c6da337d-6863-4318-9d91-d65517e24bd6,8746c505-d707-43ff-8ae0-4a22203a27f3,2024-08-14 11:17:24.399620,cancelled
df88e50f-3bb2-4cf1-be55-e4d787f9d79b,df61eafc-a262-4aab-aca8-9e950fe948bc,2024-03-02 18:22:48.017494,completed
235672ec-9ba3-4069-8a78-df6376a79313,e0ec44c7-2c68-4a36-a6a8-73fa32ca185c,2024-10-11 19:49:49.699052,cancelled
6bf5fb16-4306-4f9e-a477-75450c7bc549,443ee277-b006-4b42-b7ae-9971ab2678bf,2023-12-19 12:55:21.039817,completed
c4415975-c552-4b4e-9294-201fa54a309b,5600b28e-adf0-4222-8ff7-8efe26abed44,2024-11-14 16:05:23.343408,cancelled
a736213b-d83f-4c84-aea8-ccb4d404b88f,f46685e2-235b-4ba0-9716-f335995d5530,2025-06-13 06:49:24.513225,cancelled
ed59036b-38fd-46d8-b8ae-878760e562a0,bc95d3da-0fd4-444b-b861-e8c06291e38b,2024-01-22 20:46:21.530463,pending
480d76a9-0463-461b-af99-fc4270978de7,32904ed4-ee5e-42dc-8e6f-b8587b0980ae,2024-02-26 11:10:28.817997,shipped
f7306ff9-d3b9-4d06-b2a0-8fc444b616c6,510f9f8d-37f1-470c-a055-91a27217e902,2023-09-23 01:56:26.151141,shipped
dbe085b8-b8b3-41ef-9d88-32d03cc0ad4f,35b03b67-9e9e-441c-b5b3-01fad74b6450,2024-11-11 03:46:27.102503,pending
e42f58aa-9df3-41ad-bacd-190abd4a216e,487c2428-4304-41c4-b608-b08d8da1c44d,2025-08-12 11:21:25.362051,completed
a3db663b-f578-4820-b1c3-ac907f795ac0,5e84e752-a84e-4d7f-be13-03b7972430ab,2025-02-10 00:36:03.670038,completed
9de8f2aa-0fba-403d-ab4e-b644aa712a36,c18a8854-29a2-4864-86e2-99a767e08a2a,2024-06-08 04:13:06.000152,pending
c60aed68-2656-4a68-8be2-de1ae81efc91,e6a13a95-e7d9-45ca-ac61-199bac49861b,2024-01-13 15:12:08.285743,pending
d2887f58-aabc-472c-a205-3a8caf149b57,26b95f52-a83a-47d3-82cd-3fa69701c437,2024-06-11 22:33:52.492296,pending
17795bc2-0de7-473a-b6fc-72abef933933,9fdc4b32-ac79-4b49-a055-2f20c1c08c5f,2025-04-06 06:04:26.462255,pending
c86d4922-0d85-4a83-b7b7-d256ea8966c6,c87264e0-bb4f-44bc-8b85-f6199bc9afc7,2023-12-14 19:06:55.336607,cancelled
b4557222-c26e-41c7-8345-afa12167a478,16124f61-2af9-4a32-b5aa-efdd406551e8,2025-03-15 01:50:25.295092,completed
